Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     
0                        0.0005971797307332357    100                      5.920621292273973        1000.0                   10                       0.0                      0.0                      0                        1.591851830482483        
10                       0.0013193621900346544    1100                     115.78177011718677       1000.0                   10                       49.16764831542969        1000.0                   1                        -3.7772164344787598      
20                       0.002117424143685235     2100                     168.6492425301173        1000.0                   10                       24.805219650268555       1000.0                   1                        -4.038395881652832       
30                       0.0030040566788779367    3100                     508.0038536696178        1000.0                   10                       241.0238037109375        1000.0                   1                        -3.995856761932373       
40                       0.0039199672142664595    4100                     533.6726165744287        1000.0                   10                       569.7466430664062        1000.0                   1                        -3.98098087310791        
50                       0.0049257708258099026    5100                     593.8362475262954        1000.0                   10                       620.0792846679688        1000.0                   1                        -4.006636619567871       
60                       0.005992323093944126     6100                     625.7208856317214        1000.0                   10                       619.3897094726562        1000.0                   1                        -4.015470504760742       
70                       0.0071281011237038505    7100                     556.9207550782525        1000.0                   10                       624.58544921875          1000.0                   1                        -4.023582458496094       
80                       0.008347226977348328     8100                     615.3693082657643        1000.0                   10                       562.9207763671875        1000.0                   1                        -4.023235321044922       
90                       0.009661581648720635     9100                     623.631535743177         1000.0                   10                       612.8157958984375        1000.0                   1                        -4.0327677726745605      
100                      0.011075403292973835     10100                    562.5338825377763        1000.0                   10                       616.5322265625           1000.0                   1                        -4.036535739898682       
110                      0.012558342748218113     11100                    622.8121039635502        1000.0                   10                       630.1073608398438        1000.0                   1                        -4.041670322418213       
120                      0.014173503915468852     12100                    621.2664033771492        1000.0                   10                       630.2984008789062        1000.0                   1                        -4.0458664894104         
130                      0.015856291121906705     13100                    619.3933857753407        1000.0                   10                       299.568359375            1000.0                   1                        -4.041609764099121       
140                      0.017668152848879497     14100                    626.3037607161328        1000.0                   10                       635.327880859375         1000.0                   1                        -4.0467376708984375      
150                      0.019560090833240087     15100                    616.2817509729415        1000.0                   10                       576.6632690429688        1000.0                   1                        -4.0462646484375         
160                      0.021455733643637762     16100                    595.5306872541763        1000.0                   10                       622.6094360351562        1000.0                   1                        -4.048993110656738       
170                      0.023479813933372496     17100                    617.9685795225203        1000.0                   10                       638.46435546875          1000.0                   1                        -4.051867485046387       
180                      0.0255747252702713       18100                    525.7334626896852        1000.0                   10                       620.8037719726562        1000.0                   1                        -4.05385160446167        
190                      0.027808398074573942     19100                    621.410373446159         1000.0                   10                       632.6207275390625        1000.0                   1                        -4.056130409240723       
