Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     
0                        0.0003356138202879164    100                      10.32367135471471        400.0                    10                       0.0                      0.0                      0                        1.5094867944717407       
10                       0.0008092872301737467    1100                     25.12675267983274        400.0                    10                       10.619860649108887       400.0                    2                        -3.9726552963256836      
20                       0.0013531488842434354    2100                     23.79981645863375        400.0                    10                       22.36609649658203        400.0                    2                        -4.0057597160339355      
30                       0.0019663555092281765    3100                     24.089510407083605       400.0                    10                       23.43345069885254        400.0                    2                        -4.04280424118042        
40                       0.0026809713575575086    4100                     21.09109080394968        400.0                    10                       22.92803192138672        400.0                    2                        -3.9259109497070312      
50                       0.0034495368931028577    5100                     20.624241903113095       400.0                    10                       18.254764556884766       400.0                    2                        -3.9102277755737305      
60                       0.0042788958549499516    6100                     41.13689387825739        400.0                    10                       29.162721633911133       400.0                    2                        -3.920259714126587       
70                       0.005186989969677395     7100                     85.94292216301211        400.0                    10                       21.59273910522461        400.0                    2                        -3.8504581451416016      
80                       0.006177539692984687     8100                     94.0371369190984         400.0                    10                       75.32675170898438        400.0                    2                        -3.738814115524292       
90                       0.007241375843683878     9100                     167.13055101889668       400.0                    10                       124.14154815673828       400.0                    2                        -3.7065653800964355      
100                      0.008408180806371901     10100                    138.10599790048508       400.0                    10                       231.03399658203125       400.0                    2                        -3.6572518348693848      
110                      0.009652068350050185     11100                    201.01526771130742       400.0                    10                       232.67501831054688       400.0                    2                        -3.615834951400757       
120                      0.010970833897590637     12100                    251.88617167324568       400.0                    10                       246.6560821533203        400.0                    2                        -3.622546672821045       
130                      0.01236796326107449      13100                    213.0930438967263        400.0                    10                       126.29900360107422       400.0                    2                        -3.6283059120178223      
140                      0.013851758042971294     14100                    200.75460775690894       400.0                    10                       253.62277221679688       400.0                    2                        -3.6092631816864014      
150                      0.015471729437510172     15100                    246.36714536903506       400.0                    10                       138.1946563720703        400.0                    2                        -3.6306118965148926      
160                      0.017174186905225118     16100                    170.9352106865909        400.0                    10                       244.6708984375           400.0                    2                        -3.630462646484375       
170                      0.018951950536833868     17100                    209.37367033680562       400.0                    10                       205.47738647460938       400.0                    2                        -3.6151177883148193      
180                      0.020822852187686498     18100                    218.20915248643004       400.0                    10                       128.26516723632812       400.0                    2                        -3.6276447772979736      
190                      0.022788274155722724     19100                    210.30431626227383       400.0                    10                       253.56622314453125       400.0                    2                        -3.629770040512085       
